OriginalMetadataColumnName,BITColumnName,Include (Yes/No) - Interest,Type
recount_qc.bc_frag.kallisto_mean_length,MeanFragmentLength,No,Sequencing metrics
recount_qc.bc_frag.mean_length,MeanFragmentLength_BAM,No,Sequencing metrics
recount_qc.bc_frag.mode_length,ModeFragmentLength,No,Sequencing metrics
recount_qc.bc_frag.mode_length_count,ModeFragmentLengthCount,Yes,Sequencing metrics
recount_qc.exon_fc.all_.,Percentage_fragment_mapped_exon_fc,Yes,Sequencing metrics
recount_qc.exon_fc.unique_.,Percentage_fragment_mapped_unique_exon_fc,Yes,Sequencing metrics
recount_qc.exon_fc_count_all.total,Total_fragments_input_fc_exon_fc,Yes,Sequencing metrics
recount_qc.exon_fc_count_all.assigned,Total_fragments_assigned_exon_fc,Yes,Sequencing metrics
recount_qc.exon_fc_count_unique.total,Total_fragments_count_unique_exon_fc,Yes,Sequencing metrics
recount_qc.exon_fc_count_unique.assigned,Total_fragments_count_unique_assigned_exon_fc,Yes,Sequencing metrics
recount_qc.gene_fc.all_.,Percentage_fragment_mapped_gene_fc,Yes,Sequencing metrics
recount_qc.gene_fc.unique_.,Percentage_fragment_mapped_unique_gene_fc,Yes,Sequencing metrics
recount_qc.gene_fc_count_all.total,Total_fragments_input_fc_gene_fc,Yes,Sequencing metrics
recount_qc.gene_fc_count_all.assigned,Total_fragments_assigned_gene_fc,Yes,Sequencing metrics
recount_qc.gene_fc_count_unique.total,Total_fragments_count_unique_gene_fc,Yes,Sequencing metrics
recount_qc.gene_fc_count_unique.assigned,Total_fragments_count_unique_assigned_gene_fc,Yes,Sequencing metrics
recount_qc.intron_sum,IntronTotal,Yes,Sequencing metrics
recount_qc.intron_sum_.,IntronicRate,Yes,Sequencing metrics
recount_qc.star.._of_chimeric_reads,Percentage_chimeric_reads_STAR,No,Sequencing metrics
recount_qc.star.._of_reads_mapped_to_multiple_loci,Percentage_mapped_multi_loci_STAR,Yes,Sequencing metrics
recount_qc.star.._of_reads_mapped_to_too_many_loci,Percentage_mapped_too_many_loci_STAR,Yes,Sequencing metrics
recount_qc.star.._of_reads_unmapped._other,Percentage_unmapped_other_STAR,Yes,Sequencing metrics
recount_qc.star.._of_reads_unmapped._too_many_mismatches,Percentage_unmapped_too_many_mismatches_STAR,Yes,Sequencing metrics
recount_qc.star.._of_reads_unmapped._too_short,Percentage_unmapped_too_short_STAR,Yes,Sequencing metrics
recount_qc.star.all_mapped_reads,ReadsMapped,Yes,Sequencing metrics
recount_qc.star.average_input_read_length,Average_input_read_length_STAR,No,Sequencing metrics
recount_qc.star.average_mapped_length,Average_mapped_length_STAR,No,Sequencing metrics
recount_qc.star.deletion_average_length,Deletion_average_length_STAR,No,Sequencing metrics
recount_qc.star.deletion_rate_per_base,Delelion_rate_per_base_STAR,No,Sequencing metrics
recount_qc.star.insertion_average_length,Insertion_average_length_STAR,No,Sequencing metrics
recount_qc.star.insertion_rate_per_base,Insertion_rate_per_base_STAR,No,Sequencing metrics
recount_qc.star.mapping_speed._million_of_reads_per_hour,Mapping_speed_per_hour_STAR,No,Sequencing metrics
recount_qc.star.mismatch_rate_per_base._.,Percentage_mismatch_per_base_STAR,No,Sequencing metrics
recount_qc.star.number_of_chimeric_reads,Number_of_chimeric_reads_STAR,No,Sequencing metrics
recount_qc.star.number_of_input_reads,TotalNReads,Yes,Sequencing metrics
recount_qc.star.number_of_reads_mapped_to_multiple_loci,Number_reads_mapped_to_multiple_loci_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_mapped_to_too_many_loci,Number_reads_mapped_to_too_many_loci_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._other,Number_reads_unmapped_other_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._too_many_mismatches,Number_reads_unmapped_mismatches_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._too_short,Number_reads_unmapped_too_short_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._at.ac,Number_canonical_splices_AT_AC_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._annotated_.sjdb.,Number_splices_found_annotation_DB_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._gc.ag,Number_canonical_splices_GC_AG_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._gt.ag,Number_canonical_splices_GT_AG_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._non.canonical,Number_non_canonical_splices_STAR,No,Sequencing metrics
recount_qc.star.number_of_splices._total,Number_splices_total_STAR,No,Sequencing metrics
recount_qc.star.uniquely_mapped_reads_.,MappingRate,Yes,Sequencing metrics
recount_qc.star.uniquely_mapped_reads_number,MappingRate_unique,Yes,Sequencing metrics
recount_qc.junction_count,Junction_count,Yes,Sequencing metrics
recount_qc.junction_coverage,Junction_coverage,Yes,Sequencing metrics
recount_qc.junction_avg_coverage,Junction_average_coverage,Yes,Sequencing metrics
recount_qc.star.number_of_input_reads_both,Number_input_reads_both_STAR,Yes,Sequencing metrics
recount_qc.star.all_mapped_reads_both,All_mapped_reads_both_STAR,Yes,Sequencing metrics
recount_qc.star.number_of_chimeric_reads_both,Number_chimeric_reads_both_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_mapped_to_multiple_loci_both,Number_reads_mapped_multiple_loci_both_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_mapped_to_too_many_loci_both,Numner_reads_mapped_too_many_loci_both_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._other_both,Number_reads_unmapped_other_both_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._too_many_mismatches_both,Number_reads_unmapped_mismatches_both_STAR,No,Sequencing metrics
recount_qc.star.number_of_reads_unmapped._too_short_both,Number_reads_unmapped_too_short_both_STAR,No,Sequencing metrics
recount_qc.star.uniquely_mapped_reads_number_both,Number_reads_mapped_uniquely_both_STAR,No,Sequencing metrics
recount_qc.star.._mapped_reads_both,MappingRate_both,Yes,Sequencing metrics
recount_qc.star.._chimeric_reads_both,Percent_Chimeric_both,No,Sequencing metrics
recount_qc.star.._reads_mapped_to_multiple_loci_both,Percentage_mapped_multi_loci_both_STAR,Yes,Sequencing metrics
recount_qc.star.._reads_mapped_to_too_many_loci_both,Percentage_mapped_too_many_loci_both_STAR,Yes,Sequencing metrics
recount_qc.star.._reads_unmapped._other_both,Percentage_unmapped_other_both_STAR,Yes,Sequencing metrics
recount_qc.star.._reads_unmapped._too_many_mismatches_both,Percentage_unmapped_too_many_mismatches_both_STAR,Yes,Sequencing metrics
recount_qc.star.._reads_unmapped._too_short_both,Percentage_unmapped_too_short_both_STAR,Yes,Sequencing metrics
recount_qc.star.uniquely_mapped_reads_._both,Percentage_uniquely_mapped_both_STAR,Yes,Sequencing metrics
recount_seq_qc.min_len,MinReadLength,No,Sequencing metrics
recount_seq_qc.max_len,MaxReadLength,No,Sequencing metrics
recount_seq_qc.avg_len,Average_length,No,Sequencing metrics
recount_seq_qc..distinct_quality_values,DIstinctQualityValues,No,Sequencing metrics
recount_seq_qc..bases,Percent_Bases,No,Sequencing metrics
recount_seq_qc..a,Percent_A,No,Sequencing metrics
recount_seq_qc..c,Percent_C,No,Sequencing metrics
recount_seq_qc..g,Percent_G,No,Sequencing metrics
recount_seq_qc..t,Percent_T,No,Sequencing metrics
recount_seq_qc..n,Percent_N,No,Sequencing metrics
recount_seq_qc.avgq,Average_Phred,No,Sequencing metrics
recount_seq_qc.errq,ErrQ,No,Sequencing metrics
recount_pred.sample_acc.y,SampleAccPrediction,No,Sequencing metrics
recount_pred.curated.type,CuratedTypePrediction,No,Sequencing metrics
recount_pred.curated.tissue,CuratedTissuePrediction,No,Sequencing metrics
recount_pred.pattern.predict.type,PatternPredictionType,No,Sequencing metrics
recount_pred.pred.type,PredictionType,No,Sequencing metrics
recount_pred.curated.cell_type,CellTypePrediction,No,Sequencing metrics
recount_pred.curated.cell_line,CellLinePrediction,No,Sequencing metrics
BigWigURL,BigWigFile,No,Sequencing metrics
NA,AgeInterval,Yes,Phenotype
NA,Diagnosis,Yes,Phenotype
NA,Period,Yes,Phenotype
time sample in transit (minutes),PMI,Yes,Sequencing metrics
NA,Regions,Yes,Sample charactertics
NA,AgeNumeric,Yes,Phenotype
