OriginalMetadataColumnName,BITColumnName,Include (Yes/No) - Interest,Type
recount_qc.gene_fc_count_all.total,,,
recount_qc.gene_fc_count_all.assigned,,,
recount_qc.gene_fc_count_unique.total,,,
recount_qc.gene_fc_count_unique.assigned,,,
recount_qc.intron_sum,,,
recount_qc.intron_sum_.,,,
recount_qc.star.._of_chimeric_reads,,,
recount_qc.star.._of_chimeric_reads2,,,
recount_qc.star.._of_reads_mapped_to_multiple_loci,,,
recount_qc.star.._of_reads_mapped_to_multiple_loci2,,,
recount_qc.star.._of_reads_mapped_to_too_many_loci,,,
recount_qc.star.._of_reads_mapped_to_too_many_loci2,,,
recount_qc.star.._of_reads_unmapped._other,,,
recount_qc.star.._of_reads_unmapped._other2,,,
recount_qc.star.._of_reads_unmapped._too_many_mismatches,,,
recount_qc.star.._of_reads_unmapped._too_many_mismatches2,,,
recount_qc.star.._of_reads_unmapped._too_short,,,
recount_qc.star.._of_reads_unmapped._too_short2,,,
recount_qc.star.all_mapped_reads,,,
recount_qc.star.all_mapped_reads2,,,
recount_qc.star.average_input_read_length,,,
recount_qc.star.average_input_read_length2,,,
recount_qc.star.average_mapped_length,,,
recount_qc.star.average_mapped_length2,,,
recount_qc.star.deletion_average_length,,,
recount_qc.star.deletion_average_length2,,,
recount_qc.star.deletion_rate_per_base,,,
recount_qc.star.deletion_rate_per_base2,,,
recount_qc.star.insertion_average_length,,,
recount_qc.star.insertion_average_length2,,,
recount_qc.star.insertion_rate_per_base,,,
recount_qc.star.insertion_rate_per_base2,,,
recount_qc.star.mapping_speed._million_of_reads_per_hour,,,
recount_qc.star.mapping_speed._million_of_reads_per_hour2,,,
recount_qc.star.mismatch_rate_per_base._.,,,
recount_qc.star.mismatch_rate_per_base._.2,,,
recount_qc.star.number_of_chimeric_reads,,,
recount_qc.star.number_of_chimeric_reads2,,,
recount_qc.star.number_of_input_reads,,,
recount_qc.star.number_of_input_reads2,,,
recount_qc.star.number_of_reads_mapped_to_multiple_loci,,,
recount_qc.star.number_of_reads_mapped_to_multiple_loci2,,,
recount_qc.star.number_of_reads_mapped_to_too_many_loci,,,
recount_qc.star.number_of_reads_mapped_to_too_many_loci2,,,
recount_qc.star.number_of_reads_unmapped._other,,,
recount_qc.star.number_of_reads_unmapped._other2,,,
recount_qc.star.number_of_reads_unmapped._too_many_mismatches,,,
recount_qc.star.number_of_reads_unmapped._too_many_mismatches2,,,
recount_qc.star.number_of_reads_unmapped._too_short,,,
recount_qc.star.number_of_reads_unmapped._too_short2,,,
recount_qc.star.number_of_splices._at.ac,,,
recount_qc.star.number_of_splices._at.ac2,,,
recount_qc.star.number_of_splices._annotated_.sjdb.,,,
recount_qc.star.number_of_splices._annotated_.sjdb.2,,,
recount_qc.star.number_of_splices._gc.ag,,,
recount_qc.star.number_of_splices._gc.ag2,,,
recount_qc.star.number_of_splices._gt.ag,,,
recount_qc.star.number_of_splices._gt.ag2,,,
recount_qc.star.number_of_splices._non.canonical,,,
recount_qc.star.number_of_splices._non.canonical2,,,
recount_qc.star.number_of_splices._total,,,
recount_qc.star.number_of_splices._total2,,,
recount_qc.star.uniquely_mapped_reads_.,,,
recount_qc.star.uniquely_mapped_reads_.2,,,
recount_qc.star.uniquely_mapped_reads_number,,,
recount_qc.star.uniquely_mapped_reads_number2,,,
recount_qc.junction_count,,,
recount_qc.junction_coverage,,,
recount_qc.junction_avg_coverage,,,
recount_qc.star.number_of_input_reads_both,,,
recount_qc.star.all_mapped_reads_both,,,
recount_qc.star.number_of_chimeric_reads_both,,,
recount_qc.star.number_of_reads_mapped_to_multiple_loci_both,,,
recount_qc.star.number_of_reads_mapped_to_too_many_loci_both,,,
recount_qc.star.number_of_reads_unmapped._other_both,,,
recount_qc.star.number_of_reads_unmapped._too_many_mismatches_both,,,
recount_qc.star.number_of_reads_unmapped._too_short_both,,,
recount_qc.star.uniquely_mapped_reads_number_both,,,
recount_qc.star.._mapped_reads_both,,,
recount_qc.star.._chimeric_reads_both,,,
recount_qc.star.._reads_mapped_to_multiple_loci_both,,,
recount_qc.star.._reads_mapped_to_too_many_loci_both,,,
recount_qc.star.._reads_unmapped._other_both,,,
recount_qc.star.._reads_unmapped._too_many_mismatches_both,,,
recount_qc.star.._reads_unmapped._too_short_both,,,
recount_qc.star.uniquely_mapped_reads_._both,,,
recount_seq_qc.min_len,,,
recount_seq_qc.max_len,,,
recount_seq_qc.avg_len,,,
recount_seq_qc..distinct_quality_values,,,
recount_seq_qc..bases,,,
recount_seq_qc..a,,,
recount_seq_qc..c,,,
recount_seq_qc..g,,,
recount_seq_qc..t,,,
recount_seq_qc..n,,,
recount_seq_qc.avgq,,,
recount_seq_qc.errq,,,
recount_pred.sample_acc.y,,,
recount_pred.curated.type,,,
recount_pred.curated.tissue,,,
recount_pred.pattern.predict.type,,,
recount_pred.pred.type,,,
recount_pred.curated.cell_type,CellTypePrediction,No,
recount_pred.curated.cell_line,CellLinePrediction,No,
BigWigURL,BigWigFile,No,
